Fahrzeug,Kalenderwoche,Barumsatz (€),Bankomatumsatz (€),Gesamtumsatz (€),Trinkgeld gesamt (€),Trinkgeld (non-bar) (€),Plattform
135CTX,KW19,308.1,150.39,458.49,9.09,4.19,40100
135CTX,KW20,516.6,337.8,854.4,20.1,7.0,40100
135CTX,KW21,779.8,264.2,1044.0,27.0,14.8,40100
135CTX,KW22,70.0,62.2,132.2,3.2,0.0,40100
432ATX,KW14,402.6,276.3,678.9,11.1,11.1,40100
432ATX,KW15,632.7,477.2,1109.9,18.0,16.2,40100
432ATX,KW16,346.9,238.6,585.5,11.1,11.1,40100
432ATX,KW17,594.6,317.79,912.39,12.29,12.29,40100
432ATX,KW18,472.6,401.5,874.1,12.2,12.2,40100
432ATX,KW19,671.9,275.8,947.7,20.7,7.7,40100
432ATX,KW20,414.7,431.6,846.3,18.8,18.8,40100
432ATX,KW21,535.4,365.95,901.35,20.75,20.75,40100
432ATX,KW22,199.8,110.0,309.8,13.2,13.2,40100
4517,KW14,483.0,169.0,652.0,12.3,0.0,40100
4517,KW15,550.1,398.9,949.0,20.4,7.2,40100
4517,KW16,471.1,118.6,589.7,15.3,4.0,40100
4517,KW17,578.0,284.99,862.99,18.79,6.29,40100
4517,KW18,216.3,246.4,462.7,14.1,7.8,40100
4517,KW19,262.5,73.8,336.3,0.9,0.9,40100
4517,KW20,591.9,519.25,1111.15,22.35,22.25,40100
4517,KW21,670.3,365.54,1035.84,22.74,22.74,40100
4517,KW22,269.2,121.07,390.27,24.07,22.67,40100
484,KW14,516.4,588.4,1104.8,27.2,11.1,40100
484,KW15,706.8,529.8,1236.6,33.1,28.1,40100
484,KW16,621.6,424.8,1046.4,13.2,6.0,40100
484,KW17,543.8,369.4,913.2,8.2,3.0,40100
484,KW18,685.9,304.2,990.1,67.5,-10.3,40100
484,KW19,867.2,768.1,1635.3,49.8,37.2,40100
484,KW20,994.7,478.09,1472.79,32.39,16.29,40100
484,KW21,1014.0,560.5,1574.5,22.9,13.1,40100
484,KW22,160.8,288.51,449.31,16.21,16.21,40100
576BTX,KW14,13.5,0.0,13.5,0.0,0.0,40100
576BTX,KW15,15.6,0.0,15.6,0.0,0.0,40100
576BTX,KW17,25.8,0.0,25.8,0.0,0.0,40100
576BTX,KW18,19.0,0.0,19.0,0.0,0.0,40100
576BTX,KW20,20.0,0.0,20.0,0.0,0.0,40100
576BTX,KW22,29.8,0.0,29.8,0.0,0.0,40100
577BTX,KW14,298.8,113.19,411.99,9.89,8.79,40100
577BTX,KW15,256.6,288.4,545.0,11.9,11.9,40100
577BTX,KW16,753.9,131.0,884.9,11.2,6.4,40100
577BTX,KW17,629.8,317.5,947.3,8.9,5.8,40100
577BTX,KW18,549.7,256.87,806.57,18.47,17.07,40100
577BTX,KW19,91.2,303.9,395.1,14.3,12.0,40100
577BTX,KW20,32.5,59.7,92.2,5.5,5.5,40100
577BTX,KW21,200.9,97.8,298.7,21.9,6.9,40100
577BTX,KW22,15.2,0.0,15.2,0.0,0.0,40100
585BTX,KW14,198.0,434.7,632.7,0.0,0.0,40100
585BTX,KW15,270.0,572.4,842.4,0.0,0.0,40100
585BTX,KW16,79.0,413.7,492.7,0.0,0.0,40100
585BTX,KW17,153.0,575.3,728.3,0.0,0.0,40100
585BTX,KW18,200.0,504.3,704.3,0.0,0.0,40100
585BTX,KW19,77.0,252.6,329.6,0.0,0.0,40100
585BTX,KW20,0.0,477.7,477.7,0.0,0.0,40100
585BTX,KW21,4376.7,435.9,4812.6,0.0,0.0,40100
585BTX,KW22,42.0,-3981.5,-3939.5,0.0,0.0,40100
588BTX,KW14,0.0,0.0,0.0,0.0,0.0,40100
588BTX,KW19,29.0,0.0,29.0,0.0,0.0,40100
590BTX,KW14,596.5,499.77,1096.27,6.07,6.07,40100
590BTX,KW15,1024.7,793.4,1818.1,2.0,2.0,40100
590BTX,KW16,954.3,413.47,1367.77,5.47,-0.03,40100
590BTX,KW17,700.1,473.04,1173.14,13.74,13.74,40100
590BTX,KW18,595.2,697.54,1292.74,26.24,21.74,40100
590BTX,KW19,726.1,692.8,1418.9,11.1,11.1,40100
590BTX,KW20,534.3,841.02,1375.32,13.92,-11.48,40100
590BTX,KW21,244.7,815.2,1059.9,0.0,0.0,40100
590BTX,KW22,82.8,348.4,431.2,0.0,0.0,40100
594BTX,KW15,239.0,0.0,239.0,141.0,0.0,40100
594BTX,KW16,35.0,0.0,35.0,20.0,0.0,40100
594BTX,KW17,37.0,0.0,37.0,0.0,0.0,40100
594BTX,KW18,29.0,0.0,29.0,0.0,0.0,40100
594BTX,KW19,84.0,0.0,84.0,5.0,0.0,40100
594BTX,KW20,30.0,0.0,30.0,0.0,0.0,40100
594BTX,KW21,16.0,0.0,16.0,0.0,0.0,40100
594BTX,KW22,55.0,0.0,55.0,0.0,0.0,40100
595BTX,KW21,11.0,0.0,11.0,0.0,0.0,40100
6667,KW14,689.7,310.7,1000.4,0.0,0.0,40100
6667,KW15,626.7,252.6,879.3,0.0,0.0,40100
6667,KW16,836.6,165.3,1001.9,0.0,0.0,40100
6667,KW17,703.5,394.0,1097.5,0.0,0.0,40100
6667,KW18,666.7,300.0,966.7,0.0,0.0,40100
6667,KW19,832.4,402.87,1235.27,3.37,3.37,40100
6667,KW20,935.3,207.3,1142.6,0.0,0.0,40100
6667,KW21,2093.7,438.99,2532.69,4.19,4.19,40100
6667,KW22,408.2,-1344.65,-936.45,1.05,1.05,40100
700,KW14,574.6,655.2,1229.8,25.0,19.0,40100
700,KW15,588.4,577.2,1165.6,33.6,28.6,40100
700,KW16,528.0,547.0,1075.0,17.0,14.0,40100
700,KW17,523.6,451.0,974.6,29.0,26.0,40100
700,KW18,247.2,319.67,566.87,5.57,5.57,40100
700,KW19,420.1,510.24,930.34,8.94,7.34,40100
700,KW20,463.6,228.3,691.9,0.2,0.0,40100
700,KW21,392.1,153.2,545.3,0.0,0.0,40100
700,KW22,411.5,361.85,773.35,17.35,17.15,40100
7846,KW14,421.1,438.21,859.31,22.51,13.61,40100
7846,KW15,624.1,381.51,1005.61,35.51,21.51,40100
7846,KW16,651.6,430.04,1081.64,19.24,12.24,40100
7846,KW17,505.9,205.5,711.4,12.2,10.3,40100
7846,KW18,461.5,145.92,607.42,19.42,9.82,40100
7846,KW19,527.7,472.97,1000.67,15.67,14.07,40100
7846,KW20,430.3,76.58,506.88,6.98,3.18,40100
7846,KW21,401.3,325.1,726.4,17.6,10.6,40100
7846,KW22,170.0,192.7,362.7,11.5,6.3,40100
8464,KW14,440.9,397.3,838.2,6.8,5.6,40100
8464,KW15,481.0,386.2,867.2,4.3,0.0,40100
8464,KW16,498.1,159.0,657.1,5.6,1.4,40100
8464,KW17,484.6,228.8,713.4,24.0,13.0,40100
8464,KW18,512.1,404.65,916.75,9.65,6.65,40100
8464,KW19,539.4,333.3,872.7,39.0,39.0,40100
8464,KW20,285.8,321.4,607.2,9.6,9.6,40100
8464,KW21,461.6,203.5,665.1,1.8,0.0,40100
8464,KW22,362.6,116.2,478.8,13.4,1.0,40100
9046,KW14,694.8,331.2,1026.0,16.2,16.2,40100
9046,KW15,659.8,466.2,1126.0,11.2,10.2,40100
9046,KW16,649.6,399.0,1048.6,9.4,9.4,40100
9046,KW17,696.4,533.9,1230.3,15.0,15.0,40100
