Fahrzeug,Kalenderwoche,Barumsatz (€),Bankomatumsatz (€),Gesamtumsatz (€),Trinkgeld gesamt (€),Trinkgeld (non-bar) (€),Plattform
135CTX,KW23,681.4,335.2,1016.6,21.9,1.6,40100
432ATX,KW23,691.3,568.9,1260.2,28.6,28.4,40100
4517,KW23,774.2,378.5,1152.7,18.5,14.7,40100
484,KW23,910.4,379.3,1289.7,32.1,10.4,40100
577BTX,KW23,38.3,54.5,92.8,2.6,0.9,40100
585BTX,KW23,88.4,258.7,347.1,0.0,0.0,40100
588BTX,KW23,20.0,0.0,20.0,0.0,0.0,40100
590BTX,KW23,143.2,724.7,867.9,0.0,0.0,40100
594BTX,KW23,9.5,0.0,9.5,0.0,0.0,40100
6667,KW23,450.8,288.3,739.1,0.0,0.0,40100
700,KW23,612.2,586.9,1199.1,4.7,4.7,40100
7846,KW23,782.7,190.5,973.2,13.0,5.4,40100
8464,KW23,706.8,635.5,1342.3,17.7,4.5,40100
9046,KW23,826.0,406.8,1232.8,8.4,8.4,40100
9828,KW23,340.7,275.7,616.4,0.0,0.0,40100
9892,KW23,145.9,268.3,414.2,2.0,2.0,40100
