"Fahrzeug";"Beleg";"Zeitpunkt";"Buchungsart";"Zahlungsmittel";"Belegtext";"Gesamt";"10%";"20%";"Fahrtkosten";"Trinkgeld";"Umsatz";"Durchläufer";"Taxameterumsatz";"Status";"Bemerkung"
"9892 ";" 0419";"19.05.2025 10:44";"Barbeleg";"  ";"Personenfahrt";"39,00";"3,55";;"35,45";;"39,00";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0420";"19.05.2025 23:59";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0421";"20.05.2025 11:26";"Barbeleg";"  ";"Personenfahrt";"23,40";"2,13";;"21,27";;"23,40";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0422";"20.05.2025 12:19";"Barbeleg";"  ";"Botenfahrt";"21,80";;"3,63";"18,17";;"21,80";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0423";"20.05.2025 16:04";"Barbeleg";"  ";"Botenfahrt";"15,80";;"2,63";"13,17";;"15,80";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0424";"21.05.2025 12:11";"Barbeleg";"  ";"Personenfahrt";"10,40";"0,95";;"9,45";;"10,40";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0425";"21.05.2025 15:10";"Barbeleg";"  ";"Personenfahrt";"8,80";"0,80";;"8,00";;"8,80";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0426";"21.05.2025 18:49";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0427";"21.05.2025 19:49";"Barbeleg";"  ";"Personenfahrt";"18,80";"1,71";;"17,09";;"18,80";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0428";"21.05.2025 20:18";"Pinpad-Zahlung";"Pinpad Amex 405663";"Personenfahrt";"30,20";"2,75";;"27,45";;"30,20";;;"SIGNIERT Exportiert ";""
"9892 ";" 0429";"22.05.2025 08:09";"Barbeleg";"  ";"Personenfahrt";"13,80";"1,25";;"12,55";;"13,80";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0430";"22.05.2025 08:32";"Pinpad-Zahlung";"Pinpad EuroCard 493222";"Personenfahrt";"19,00";"1,73";;"17,27";;"19,00";;;"SIGNIERT Exportiert ";""
"9892 ";" 0431";"22.05.2025 09:25";"Barbeleg";"  ";"Personenfahrt";"20,20";"1,84";;"18,36";;"20,20";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0432";"22.05.2025 14:16";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0433";"23.05.2025 14:54";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0434";"23.05.2025 16:09";"Barbeleg";"  ";"Personenfahrt";"10,60";"0,96";;"9,64";;"10,60";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0435";"23.05.2025 17:17";"Barbeleg";"  ";"Personenfahrt";"22,60";"2,05";;"20,55";;"22,60";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0436";"23.05.2025 20:53";"Barbeleg";"  ";"Personenfahrt";"48,00";"4,36";;"43,64";;"48,00";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0437";"24.05.2025 00:03";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0438";"25.05.2025 16:43";"Barbeleg";"  ";"Personenfahrt";"17,60";"1,60";;"16,00";;"17,60";;;"SIGNIERT Gespeichert ";""
"9892 ";" 0439";"25.05.2025 20:12";"Pinpad-Zahlung";"Pinpad EuroCard 581097";"Personenfahrt";"50,00";"3,82";;"38,18";"8,00";"50,00";;;"SIGNIERT Exportiert ";""
"9892 ";" 0440";"25.05.2025 23:18";"Barbeleg";"  ";"Personenfahrt";"21,50";"1,95";;"19,55";;"21,50";;;"SIGNIERT Gespeichert ";""
"9828 ";" 0492";"19.05.2025 07:46";"Barbeleg";"  ";"Botenfahrt";"15,80";;"2,63";"13,17";;"15,80";;;"SIGNIERT Gespeichert ";""
"9828 ";" 0493";"19.05.2025 08:59";"Pinpad-Zahlung";"Pinpad EuroCard 062342";"Personenfahrt";"23,40";"2,13";;"21,27";;"23,40";;;"SIGNIERT Exportiert ";""
"9828 ";" 0494";"19.05.2025 12:28";"Barbeleg";"  ";"Botenfahrt";"70,00";;"11,67";"58,33";;"70,00";;;"SIGNIERT Gespeichert ";""
"9828 ";" 0495";"19.05.2025 15:19";"Barbeleg";"  ";"Botenfahrt";"27,80";;"4,63";"23,17";;"27,80";;;"SIGNIERT Gespeichert ";""
"9828 ";" 0496";"19.05.2025 18:02";"Barbeleg";"  ";"Personenfahrt";"10,00";"0,91";;"9,09";;"10,00";;;"SIGNIERT Gespeichert ";""
"9828 ";" 0497";"20.05.2025 12:09";"Barbeleg";"  ";"Botenfahrt";"15,80";;"2,63";"13,17";;"15,80";;;"SIGNIERT Gespeichert ";""
"9828 ";" 0498";"21.05.2025 09:22";"Barbeleg";"  ";"Personenfahrt";"25,00";"2,27";;"22,73";;"25,00";;;"SIGNIERT Gespeichert ";""
"9828 ";" 0499";"21.05.2025 12:09";"Barbeleg";"  ";"Botenfahrt";"15,80";;"2,63";"13,17";;"15,80";;;"SIGNIERT Gespeichert ";""
"9828 ";" 0500";"22.05.2025 06:22";"Pinpad-Zahlung";"Pinpad Visa Pay 993281";"Personenfahrt";"24,00";"2,18";;"21,82";;"24,00";;;"SIGNIERT Exportiert ";""
"9828 ";" 0501";"22.05.2025 09:51";"Pinpad-Zahlung";"Pinpad EuroCard 060106";"Personenfahrt";"18,00";"1,64";;"16,36";;"18,00";;;"SIGNIERT Exportiert ";""
"9828 ";" 0502";"22.05.2025 12:15";"Barbeleg";"  ";"Botenfahrt";"80,00";;"13,33";"66,67";;"80,00";;;"SIGNIERT Gespeichert ";""
"9828 ";" 0503";"23.05.2025 08:35";"Pinpad-Zahlung";"Pinpad EuroCard 229586";"Personenfahrt";"22,00";"2,00";;"20,00";;"22,00";;;"SIGNIERT Exportiert ";""
"9828 ";" 0504";"23.05.2025 09:50";"Barbeleg";"  ";"Botenfahrt";"21,80";;"3,63";"18,17";;"21,80";;;"SIGNIERT Gespeichert ";""
"9828 ";" 0505";"23.05.2025 17:18";"Barbeleg";"  ";"Botenfahrt";"15,80";;"2,63";"13,17";;"15,80";;;"SIGNIERT Gespeichert ";""
"9828 ";" 0506";"24.05.2025 08:59";"Pinpad-Zahlung";"Pinpad EuroCard 779917";"Personenfahrt";"11,20";"1,02";;"10,18";;"11,20";;;"SIGNIERT Exportiert ";""
"9828 ";" 0507";"24.05.2025 10:17";"Barbeleg";"  ";"Botenfahrt";"75,00";;"12,50";"62,50";;"75,00";;;"SIGNIERT Gespeichert ";""
"9828 ";" 0508";"24.05.2025 11:16";"Barbeleg";"  ";"Personenfahrt";"10,00";"0,91";;"9,09";;"10,00";;;"SIGNIERT Gespeichert ";""
"9828 ";" 0509";"24.05.2025 11:18";"Pinpad-Zahlung";"Pinpad EuroCard 627744";"Personenfahrt";"10,00";"0,91";;"9,09";;"10,00";;;"SIGNIERT Exportiert ";""
"9828 ";" 0510";"25.05.2025 09:17";"Pinpad-Zahlung";"Pinpad EuroCard 933665";"Personenfahrt";"27,00";"2,45";;"24,55";;"27,00";;;"SIGNIERT Exportiert ";""
"9046 ";" 0939";"19.05.2025 06:19";"Barbeleg";"  ";"Personenfahrt";"14,20";"1,29";;"12,91";;"14,20";;;"SIGNIERT Gespeichert ";""
"9046 ";" 0940";"19.05.2025 07:56";"Barbeleg";"  ";"Personenfahrt";"25,40";"2,31";;"23,09";;"25,40";;;"SIGNIERT Gespeichert ";""
"9046 ";" 0941";"19.05.2025 10:04";"Barbeleg";"  ";"Personenfahrt";"14,00";"1,27";;"12,73";;"14,00";;;"SIGNIERT Gespeichert ";""
"9046 ";" 0942";"19.05.2025 11:25";"Pinpad-Zahlung";"Pinpad EuroCard 079367";"Personenfahrt";"45,00";"3,82";;"38,18";"3,00";"45,00";;;"SIGNIERT Exportiert ";""
"9046 ";" 0943";"19.05.2025 13:07";"Barbeleg";"  ";"Personenfahrt";"39,40";"3,58";;"35,82";;"39,40";;;"SIGNIERT Gespeichert ";""
